local_folder,filename_pattern,parent_publication_id,publication_role,canonical_title,canonical_author,canonical_publisher,canonical_year,isbn_10,isbn_13,doi,document_type,source_url,notes
"DOTS Europa & Estados Unidos","WMATA-TOD-Presentation072213.pdf","wmata-tod-maryland-2013","NONBOOK","WMATA Transit-Oriented Development in Maryland","Washington Metropolitan Area Transit Authority","Washington Metropolitan Area Transit Authority","2013","","","","presentation","https://planning.maryland.gov/Documents/Our-Engagement/773/2013/WMATA-TOD-Presentation072213.pdf","Official Maryland planning-hosted presentation verifies the title, responsible organization, audience, date of 22 July 2013, and presentation format"
"Captura de valor","CAF (2014) Creación y captura valor para proyectos de transporte.pdf","caf-value-capture-transport-2019","ALTERNATE_EDITION","Creación y captura de valor para el desarrollo de proyectos de transporte: Informe 3, informe final","Infratrans Consultancy LAC SAS; Juan Felipe Pinilla Pineda","CAF","2014","","","","consultant-report","https://scioteca.caf.com/handle/123456789/1404","Local consultant-report title page verifies the June 2014 version; it is the earlier final project report underlying the verified 2019 CAF book, so it is grouped as an alternate edition of the same intellectual work"
"Smart Growth","LA law to taclke sprawl and global warming.pdf","latimes-sprawl-warming-2008","NONBOOK","Legislature Takes Aim at Urban Sprawl and Global Warming","Margot Roosevelt","Los Angeles Times","2008","","","","newspaper-article","https://www.latimes.com/archives/la-xpm-2008-aug-21-me-sprawl21-story.html","Local one-page newspaper capture verifies the title, author, newspaper, date of 21 August 2008, and article type; it is not an Open Library book"
"Smart Growth","Sprawling Cities Getting Hotter.pdf","ouramazingplanet-sprawling-cities-2010","NONBOOK","Sprawling Cities Getting Hotter Faster","OurAmazingPlanet Staff","OurAmazingPlanet","2010","","","","news-article","https://www.livescience.com/archive/2010/06","Local two-page web capture and Live Science archive verify the title, corporate byline, publication, date of 23 June 2010, and article type; it is not an Open Library book"
"DOTS América Latina","Rodriguez Vergel 2014Mar13 BRT-OD Bogota Quito.pdf","rodriguez-vergel-brt-bogota-quito-2014","PUBLICATION","Desarrollo urbano orientado a los sistemas de transporte público masivo tipo BRT (Bus Rapid Transit) en Quito y Bogotá","Daniel A. Rodríguez; Erik Vergel; William Fernando Camargo Triana","Lincoln Institute of Land Policy","2014","","","","working-paper","https://www.lincolninst.edu/app/uploads/legacy-files/pubfiles/2456_1803_Rodriguez%20WP14DR1SP.pdf","Official Lincoln Institute working-paper copy verifies the title, authors and supporting author, publisher, 2014 date, and product code WP14DR1SP"
"Captura de valor","Joint-Development-Policies-2013-07-25.pdf","wmata-joint-development-2013","PUBLICATION","Joint Development Policies and Guidelines","Washington Metropolitan Area Transit Authority","Washington Metropolitan Area Transit Authority","2013","","","","guidelines","https://www.wmata.com/about/board/upload/Joint-Development-Policies-2013-07-25.pdf","Official WMATA document and FHWA resource catalog verify the canonical title, responsible organization, publisher, revised date of 25 July 2013, and guideline format"
"Captura de valor","Curso Captura Valor Conclusiones  20180921.pdf","curso-captura-valor-2018-conclusiones","NONBOOK","Estrategias y mejores prácticas en captura de valor inmobiliario para mega proyectos de transporte masivo: conclusiones y recomendaciones","Carlos Felipe Pardo","Despacio","2018","","","","presentation","","Closing slide deck of the CAF-FDN value capture course held in Bogotá 27-30 August 2018; slide 1 and the embedded PDF author verify title and authorship, and the companion final report in the same folder verifies the course dates; a presentation, not an Open Library book"
"Captura de valor","DIAZ FABIAN ALBERTO 2011 Las diferencias de aplicacion de instrumentos ANPUR.pdf","anpur-2011-diaz-velasco","NONBOOK","Las diferencias en la aplicación de instrumentos de planificación y","Fabián Alberto Díaz; Vanessa Velasco Bernal","Associação Nacional de Pós-Graduação e Pesquisa em Planejamento Urbano e Regional (ANPUR)","2011","","","","proceedings-article","https://anpur.org.br/site/anais/ena14/ARQUIVOS/GT1-1133-756-20110106190706.pdf","Paper in the anais of the XIV Encontro Nacional da ANPUR, Rio de Janeiro, May 2011; the official ANPUR PDF was downloaded and prints exactly the same truncated title ending in 'y', so the printed title is reproduced verbatim rather than reconstructed; a conference paper, not an Open Library book"
"Captura de valor","GUZMAN, PAEZ y BORRERO CIE UANDES PPT estrategia de captura de valor para financiar la construccion del metro de Bogota.pdf","guzman-paez-borrero-metro-bogota-2012","NONBOOK","Estrategias de captura de valor para financiar la construcción del metro de Bogotá: instrumentos y potencial","Luis A. Guzmán; Daniel Páez; Oscar Borrero","Universidad de los Andes","2012","","","","presentation","","Bilingual conference slide deck dated 5 December 2012; slide 1 and the embedded PDF title 'TS08A Luis A. Guzmán' verify the title, the three authors and the session code; no public conference proceedings record was located, and slides are not an Open Library book"
"Captura de valor","Informe Final Curso Captura de valor (Ago2018) 20180920.pdf","curso-captura-valor-2018","PUBLICATION","Estrategias y mejores prácticas en captura de valor inmobiliario para mega proyectos de transporte masivo: informe final","Despacio; Infratrans","CAF - Banco de Desarrollo de América Latina","2018","","","","report","","Cover page verifies the title, the label 'Informe final', the course dates 27-30 August 2018 in Bogotá, the clients CAF and FDN, and execution by Despacio and Infratrans; no public repository copy was located, so an authoritative URL is still outstanding"
"Captura de valor","REZENDE VERA FURTADO FERNANDA Revisao bibliografica comentada dos fundamentos da outorga onerosa do direito de construir OODC.pdf","rezende-furtado-oodc-2011","NONBOOK","Revisão bibliográfica comentada dos fundamentos da Outorga Onerosa do Direito de Construir – OODC","Vera F. Rezende; Fernanda Furtado; M. Teresa C. Oliveira; Pedro Jorgensen Jr.","Revista de Direito da Cidade, Universidade do Estado do Rio de Janeiro","2011","","","","article","https://www.e-publicacoes.uerj.br/rdc/article/view/9853","Journal article, Revista de Direito da Cidade vol. 3 no. 2 (2011), pp. 156-205, with collaboration by Isabela Bacellar; the local PDF's first page and its embedded document title confirm the exact title and the four credited authors; the UERJ e-publicações host did not respond during this session"
"Captura de valor","ROJASF~1.PDF","rojas-parra-papel-politico-2006","NONBOOK","Aportes para a melhoria da gestão do transporte público por ônibus de Bogotá, a partir das experiências de Belo Horizonte e Curitiba","Fernando Rojas Parra","Pontificia Universidad Javeriana","2006","","","","article","https://dialnet.unirioja.es/servlet/articulo?codigo=2527104","Papel Político (Bogotá) vol. 11 no. 2, julio-diciembre 2006, pp. 557-594; the local PDF uses a shifted font encoding whose decoded title block and running head confirm the journal, volume, issue and the author's Javeriana affiliation; a journal article, not an Open Library book"
"Captura de valor","SALGAD~1.PDF","movilizacion-social-valorizacion-tierra-2007","COMPONENT","Movilización social de la valorización de la tierra: casos latinoamericanos","María Clara Vejarano; Martim O. Smolka","Lincoln Institute of Land Policy","2007","","","","book","https://www.lincolninst.edu/publications/other/movilizacion-social-la-valorizacion-la-tierra","The local PDF is labelled 'DOCUMENTO 2 DE 2' of the Colombia case study 'Bogotá, D.C. primera experiencia de recuperación de la plusvalía urbana para la colectividad en el marco de la Ley de Desarrollo Territorial' by Sandra V. Salgado, Alexander Sierra, Magda Montaña and María Clara Vejarano; it is one chapter of the Lincoln Institute compilation, not a standalone book"
"Captura de valor","SMOLKA-AMBORSKI Recuperación de plusvalias comparación Inter-america.pdf","smolka-amborski-eure-2003","NONBOOK","Recuperación de plusvalías para el desarrollo urbano: una comparación inter-americana","Martim O. Smolka; David Amborski","Instituto de Estudios Urbanos y Territoriales, Pontificia Universidad Católica de Chile","2003","","","10.4067/S0250-71612003008800003","article","https://doi.org/10.4067/S0250-71612003008800003","Revista EURE vol. XXIX no. 88, Santiago de Chile, diciembre 2003, pp. 55-77; the local PDF's first page carries that exact citation line and the DOI resolves to the matching SciELO Chile record; a journal article, not an Open Library book"
"Captura de valor","TOBON MARIA PATRICIA MOLINA Rentas inmobiliarias-cargas y beneficios metrocable.pdf","tobon-molina-unal-2012","PUBLICATION","Rentas inmobiliarias privadas en la distribución de cargas y beneficios de los proyectos urbanos: estudio del polígono de la estación Andalucía del Metrocable de Medellín","María Patricia Tobón Molina","Universidad Nacional de Colombia, Sede Medellín","2012","","","","dissertation","","Title page and degree page verify the title, the author, the February 2012 date, the director Henry Quesada Gómez and the degree 'Trabajo final de Maestría en Estudios Urbano Regionales' at the Facultad de Arquitectura, UNAL Medellín; no reachable repositorio.unal.edu.co record was located, so an authoritative URL is still outstanding"
"Captura de valor","X. Mendoza - Master Thesis - Value capture for funding Colombian BRTs.pdf","mendoza-ihs-2005","PUBLICATION","Value Capture for Funding Colombian BRTS Infrastructure: The Case of Transmilenio in Bogotá","Camilo Mendoza","Institute for Housing and Urban Development Studies (IHS), Erasmus University Rotterdam","2005","","","","dissertation","","Title page verifies the title, the author, supervisor Peter Pol, the report number UMD-1-08, the UMD1 master course running 6 October 2004 to 23 September 2005 and the imprint 'Rotterdam, September 2005'; the year 2004 recorded earlier was the course start, not the publication year; no public IHS or Erasmus repository record was located"
"DOTS Colombia","2019_Potencial_DOTS_TM.pdf","cavadia-ub-2019","PUBLICATION","Potencial del Desarrollo Orientado al Transporte como transformador urbano. Caso de estudio: Transmilenio, Bogotá, Colombia, 2019","Paola M. Cavadía Álvarez","Universitat de Barcelona","2019","","","","dissertation","https://hdl.handle.net/2445/140558","Treball de fi de màster for the Màster en Planificació Territorial i Gestió Ambiental, Universitat de Barcelona through the Centro Universitario Internacional de Barcelona (UNIBA), tutor Verónica I. Quiroz López; the UB repository record at handle 2445/140558 (file TFM_Cavadia_Paola.pdf) matches the local PDF, whose cover is dated Barcelona, 30 July 2019"
"DOTS Colombia","2021_Potencial_DOTS.pdf","meza-llinas-uninorte-2021","PUBLICATION","Evaluando el potencial del desarrollo orientado al transporte considerando las preferencias y percepciones de los ciudadanos","Verónica Meza Llinás","Universidad del Norte","2021","","","","dissertation","https://manglar.uninorte.edu.co/handle/10584/10958","Despite the local filename this is not a Transmilenio DOTS study: the title page and project sheet identify a Magíster en Ingeniería Civil thesis by Verónica Meza Llinás, tutor Julián Alberto Arellana Ochoa, Universidad del Norte, Barranquilla, December 2021; the Manglar repository record confirms title, author and year"
"PMMS Bogota 2023","Decreto 497 de 2023 Alcaldía Mayor de Bogotá, D.C_.pdf","decreto-497-2023-pmss","NONBOOK","Decreto 497 de 2023, por el cual se adopta el Plan de Movilidad Sostenible y Segura (PMSS) para Bogotá Distrito Capital y se dictan otras disposiciones","Alcaldía Mayor de Bogotá, D.C.","Secretaría Jurídica Distrital, Alcaldía Mayor de Bogotá, D.C.","2023","","","","legal-document","https://www.alcaldiabogota.gov.co/sisjur/normas/Norma1.jsp?i=150400","Browser capture taken 25 January 2024 of the Régimen Legal de Bogotá record: expedition date 26 October 2023, in force 28 October 2023, published in Registro Distrital 7845 of 27 October 2023; a municipal decree, not an Open Library book"
"PMMS Bogota 2023","DTS.pdf","pmss-bogota-dts-2023","PUBLICATION","Documento Técnico de Soporte del Plan de Movilidad Sostenible y Segura de Bogotá D.C.","Secretaría Distrital de Movilidad de Bogotá","Secretaría Distrital de Movilidad de Bogotá","2023","","","","planning-document","https://www.movilidadbogota.gov.co/plan-de-movilidad-sostenible-y-segura","1,395-page technical support document issued with Decreto 497 de 2023 and published in Registro Distrital 7845 of October 2023; the internal reference DPM-009-2023 and the Secretaría Distrital de Movilidad masthead verify the responsible entity; movilidadbogota.gov.co could not be reached from this network, while the adopting decree page at alcaldiabogota.gov.co responded"
"Acuerdo","proyecto-de-acuerdo-pot-2021_concejo.pdf","proyecto-acuerdo-pot-bogota-2021","NONBOOK","Proyecto de Acuerdo del Plan de Ordenamiento Territorial de Bogotá D.C. presentado al Concejo de Bogotá, septiembre de 2021","Alcaldía Mayor de Bogotá, D.C.; Secretaría Distrital de Planeación","Concejo de Bogotá D.C.","2021","","","","legal-document","https://www.sdp.gov.co/micrositios/pot/documentos","463-page draft agreement filed with the Concejo de Bogotá in September 2021, later superseded by Decreto Distrital 555 de 2021; a legislative bill rather than a published book; sdp.gov.co did not respond from this network"
"DTS","anexo28-guia_formulacion_actuaciones_estrategicas.pdf","pot-bogota-dts-2021","COMPONENT","Documento Técnico de Soporte del Plan de Ordenamiento Territorial de Bogotá D.C., julio de 2021","Secretaría Distrital de Planeación de Bogotá","Secretaría Distrital de Planeación de Bogotá","2021","","","","planning-document","https://www.sdp.gov.co/micrositios/pot/documentos","Cover page reads 'DOCUMENTO TÉCNICO DE SOPORTE - Anexo 28. Guía de formulación de las Actuaciones Estratégicas - Julio 2021'; One of seven local volumes and annexes of a single July 2021 technical support document, not a separate book; a September 2021 copy of Libro I is mirrored at concejodebogota.gov.co, and sdp.gov.co did not respond from this network"
"DTS","anexo29-actuacion_estrategica_reverdecer_sur.pdf","pot-bogota-dts-2021","COMPONENT","Documento Técnico de Soporte del Plan de Ordenamiento Territorial de Bogotá D.C., julio de 2021","Secretaría Distrital de Planeación de Bogotá","Secretaría Distrital de Planeación de Bogotá","2021","","","","planning-document","https://www.sdp.gov.co/micrositios/pot/documentos","Cover page reads 'DOCUMENTO TÉCNICO DE SOPORTE - Anexo 29. Actuación Estratégica Reverdecer del Sur - Julio 2021'; One of seven local volumes and annexes of a single July 2021 technical support document, not a separate book; a September 2021 copy of Libro I is mirrored at concejodebogota.gov.co, and sdp.gov.co did not respond from this network"
"DTS","dts_libroi_componente_general.pdf","pot-bogota-dts-2021","COMPONENT","Documento Técnico de Soporte del Plan de Ordenamiento Territorial de Bogotá D.C., julio de 2021","Secretaría Distrital de Planeación de Bogotá","Secretaría Distrital de Planeación de Bogotá","2021","","","","planning-document","https://www.sdp.gov.co/micrositios/pot/documentos","Cover page reads 'DOCUMENTO TÉCNICO DE SOPORTE - Libro 1. Componente General - Julio 2021'; One of seven local volumes and annexes of a single July 2021 technical support document, not a separate book; a September 2021 copy of Libro I is mirrored at concejodebogota.gov.co, and sdp.gov.co did not respond from this network"
"DTS","dts_libroii_componente_urbano.pdf","pot-bogota-dts-2021","COMPONENT","Documento Técnico de Soporte del Plan de Ordenamiento Territorial de Bogotá D.C., julio de 2021","Secretaría Distrital de Planeación de Bogotá","Secretaría Distrital de Planeación de Bogotá","2021","","","","planning-document","https://www.sdp.gov.co/micrositios/pot/documentos","Cover page reads 'DOCUMENTO TÉCNICO DE SOPORTE - Libro 2. Componente Urbano - Julio 2021'; One of seven local volumes and annexes of a single July 2021 technical support document, not a separate book; a September 2021 copy of Libro I is mirrored at concejodebogota.gov.co, and sdp.gov.co did not respond from this network"
"DTS","dts_libroiii_componente_rural_0.pdf","pot-bogota-dts-2021","COMPONENT","Documento Técnico de Soporte del Plan de Ordenamiento Territorial de Bogotá D.C., julio de 2021","Secretaría Distrital de Planeación de Bogotá","Secretaría Distrital de Planeación de Bogotá","2021","","","","planning-document","https://www.sdp.gov.co/micrositios/pot/documentos","Cover page reads 'DOCUMENTO TÉCNICO DE SOPORTE - Libro 3. Componente Rural - Julio 2021'; One of seven local volumes and annexes of a single July 2021 technical support document, not a separate book; a September 2021 copy of Libro I is mirrored at concejodebogota.gov.co, and sdp.gov.co did not respond from this network"
"DTS","dts_libroiv_instrumentos_072021.pdf","pot-bogota-dts-2021","COMPONENT","Documento Técnico de Soporte del Plan de Ordenamiento Territorial de Bogotá D.C., julio de 2021","Secretaría Distrital de Planeación de Bogotá","Secretaría Distrital de Planeación de Bogotá","2021","","","","planning-document","https://www.sdp.gov.co/micrositios/pot/documentos","Cover page reads 'DOCUMENTO TÉCNICO DE SOPORTE - Libro 4. Instrumentos de planeación, gestión y financiación - Julio 2021'; One of seven local volumes and annexes of a single July 2021 technical support document, not a separate book; a September 2021 copy of Libro I is mirrored at concejodebogota.gov.co, and sdp.gov.co did not respond from this network"
"DTS","dts_librov_programasproyectos_072021.pdf","pot-bogota-dts-2021","COMPONENT","Documento Técnico de Soporte del Plan de Ordenamiento Territorial de Bogotá D.C., julio de 2021","Secretaría Distrital de Planeación de Bogotá","Secretaría Distrital de Planeación de Bogotá","2021","","","","planning-document","https://www.sdp.gov.co/micrositios/pot/documentos","Cover page reads 'DOCUMENTO TÉCNICO DE SOPORTE - Libro 5. Programas y Proyectos - Julio 2021'; One of seven local volumes and annexes of a single July 2021 technical support document, not a separate book; a September 2021 copy of Libro I is mirrored at concejodebogota.gov.co, and sdp.gov.co did not respond from this network"
"Conpes Movilidad Sostenible","Conpes_3991.pdf","conpes-3991-2020","PUBLICATION","Documento CONPES 3991: Política Nacional de Movilidad Urbana y Regional","Consejo Nacional de Política Económica y Social (CONPES)","Departamento Nacional de Planeación","2020","","","","report","https://colaboracion.dnp.gov.co/CDT/Conpes/Econ%C3%B3micos/3991.pdf","Approved version dated Bogotá, 14 April 2020, prepared by the Departamento Nacional de Planeación with the Ministerios de Hacienda, Ambiente y Desarrollo Sostenible and Transporte; the misleading embedded PDF title about Situado Fiscal is template residue from an unrelated document; treated as a standalone numbered government policy report rather than a statute or decree, so flip this row to NONBOOK if CONPES documents should stay outside the book catalogue"
"Proyecto Política nacional DOTS (CCAP-SIGMA-DESPACIO)","Diagnóstico del marco de política para proyectos DOTS en Colombia .pdf","dots-colombia-informe3-diagnostico-2019","PUBLICATION","Informe 3: Diagnóstico del marco de política en Colombia para el desarrollo de proyectos DOTS","Consorcio SIGMA Gestión de Proyectos – Despacio","Center for Clean Air Policy (CCAP); Findeter","2019","","","","report","https://despacio.org/portfolio/lineamientos-para-una-politica-nacional-dots/","Cover verifies 'INFORME 3: DIAGNÓSTICO DEL MARCO DE POLÍTICA EN COLOMBIA PARA EL DESARROLLO DE PROYECTOS DOTS - V2', dated 17 October 2019, presented to CCAP and Findeter by the Consorcio SIGMA GP - Despacio under the consultancy 'Formulación de los lineamientos y recomendaciones de política para la implementación de iniciativas DOTS en Colombia'; the Despacio project page confirms the client, the consortium and the March 2019 to October 2020 period"
"Proyecto Política nacional DOTS (CCAP-SIGMA-DESPACIO)","Lineamientos para una política nacional DOTS_Resumen Ejecutivo.pdf","lineamientos-politica-nacional-dots-2020","PUBLICATION","Lineamientos para una Política Nacional de Desarrollo Orientado al Transporte Sostenible (DOTS)","Consorcio SIGMA Gestión de Proyectos – Despacio","Findeter","2020","","","","report","https://bibliotecadigital.findeter.metabiblioteca.com/handle/001/9617","Designed, published executive summary; the Findeter institutional repository record at handle 001/9617, dated August 2020, confirms the title and corporate publisher, and matches the Colombia TOD-NAMA / NAMA Facility / CCAP / CIUDAT credit line printed inside the local PDF"
"Proyecto Política nacional DOTS (CCAP-SIGMA-DESPACIO)","Lineamientos para una política nacional DOTS_Executive_Summary.pdf","lineamientos-politica-nacional-dots-2020","ALTERNATE_EDITION","Guidelines for a National DOTS Policy in Colombia","Consorcio SIGMA Gestión de Proyectos – Despacio","Findeter","2020","","","","report","https://bibliotecadigital.findeter.metabiblioteca.com/handle/001/9617","English-language executive summary carrying the same sections, objectives and four strategic proposals as the published Spanish edition; an alternate-language edition of the same intellectual work"
"Otras políticas relacionadas","05-Agosto-2022 Estrategia Nacional de Transporte Sostenible_V6.pdf","estrategia-nacional-transporte-sostenible-2022","PUBLICATION","Estrategia Nacional de Transporte Sostenible","Ministerio de Transporte de Colombia; Ministerio de Ambiente y Desarrollo Sostenible; Ministerio de Minas y Energía; Departamento Nacional de Planeación; Unidad de Planeación Minero Energética","Gobierno de Colombia","2022","","","","report","https://mintransporte.gov.co/publicaciones/10754/transporte-sostenible/","Cover reads 'Estrategia Nacional de Transporte Sostenible - GOBIERNO DE COLOMBIA » 2022'; the Ministerio de Transporte publications page hosts the official document, developed through the Mesa Interinstitucional de Transporte Sostenible and presented in August 2022"
"Proyectos DOTS","2021_estudio_DOT_Metro_de_Bogota.pdf","wb-jll-estudio-dot-calle26-2021","PUBLICATION","Estación Calle 26 – Estudio DOT: reporte final. Estructuración de un modelo de transacción para movilizar financiamiento privado en apoyo a la estrategia de Desarrollo Orientado al Transporte Público de la Primera Línea del Metro de Bogotá","JLL","World Bank Group","2021","","","","report","","Cover verifies the title, the label 'Reporte Final', the date 20 September 2021 and the World Bank trust-fund reference TF072644; the PDF author field is a worldbank.org address and the text states that the World Bank contracted JLL; no public World Bank Open Knowledge record was located, so an authoritative URL is still outstanding"
"Proyectos DOTS","DOT_Cali.pdf","tod-nama-cali-corredor-verde-2018","NONBOOK","Corredor Verde – TOD NAMA Cali: proyecto Sendero ecológico Río Lili","Hanae Tanaka","","2018","","","","presentation","","Slide deck dated 18 December 2018 in the PDF metadata, presenting the Cali pilot of the Colombia TOD-NAMA on the Simón Bolívar corridor; the deck carries TOD-NAMA branding but names no publishing entity, and the author is taken from the PDF metadata; a presentation, not an Open Library book"
"Proyectos DOTS","DOT_NAMA_Colombia.pdf","colombia-tod-nama-unfccc","NONBOOK","NS-127 – Colombia TOD NAMA: NAMA seeking support for implementation","Findeter; Center for Clean Air Policy","United Nations Framework Convention on Climate Change","","","","","registry-record","https://www4.unfccc.int/sites/PublicNAMA/_layouts/un/fccc/nama/NamaSeekingSupportForImplementation.aspx?ID=67","Print-out of UNFCCC public NAMA registry entry NS-127; the national implementing entity contacts are Sandra P. Bejarano of Findeter and Steve Winkelman of CCAP, and the record states an expected implementation start of 2015 but carries no publication date, so the year is left blank rather than inferred; the UNFCCC registry was in maintenance during this session, and CCAP's own record is at https://www.ccap.org/post/colombia-transit-oriented-development-nama-selected-for-funding; a registry record, not an Open Library book"
"Proyectos DOTS","Plan_Parcial_San_Bernardo.pdf","plan-parcial-centro-san-bernardo","NONBOOK","Centro San Bernardo – Plan Parcial","RenoBo - Empresa de Renovación y Desarrollo Urbano de Bogotá D.C.","RenoBo - Empresa de Renovación y Desarrollo Urbano de Bogotá D.C.","2024","","","","web-capture","https://renobo.com.co/es/proyectos/centro-san-bernardo-plan-parcial","Three-page browser capture taken 12 January 2024 of RenoBo's project page for the Plan Parcial de Renovación Urbana Centro San Bernardo; renobo.com.co refuses automated requests but the page is indexed and mirrored by the Secretaría Distrital de Planeación; a web page capture, not an Open Library book"
"Recomendaciones de política- DOTS","CCAP-Findeter_Politica DOTS_Presentación Gral Proyecto.pdf","ccap-findeter-dots-presentacion-2020","NONBOOK","Formulación de los lineamientos y recomendaciones de política para la implementación de iniciativas de Desarrollo Orientado al Transporte Sostenible (DOTS) en Colombia: presentación general del proyecto","Consorcio SIGMA Gestión de Proyectos – Despacio","Consorcio SIGMA Gestión de Proyectos – Despacio","2020","","","","presentation","https://despacio.org/portfolio/lineamientos-para-una-politica-nacional-dots/","Slide deck dated October 2020 carrying the '© Copyright CONSORCIO SIGMA GP - DESPACIO 2020' line on every slide; a project presentation, not an Open Library book"
"Recomendaciones de política- DOTS","CCAP_Politica DOTS_Deber Ser Política V2 FINAL.pdf","dots-colombia-informe2-deber-ser-2019","PUBLICATION","Informe 2: El deber ser de la política DOTS","Consorcio SIGMA Gestión de Proyectos – Despacio","Center for Clean Air Policy (CCAP); Findeter","2019","","","","report","https://despacio.org/portfolio/lineamientos-para-una-politica-nacional-dots/","Cover verifies 'INFORME 2: EL DEBER SER DE LA POLÍTICA DOTS - V2', dated 6 September 2019, presented to CCAP and Findeter by the Consorcio SIGMA GP - Despacio; 178 pages of concept definition and international case studies, a distinct deliverable from Informe 3"
"Recomendaciones de política- DOTS","CCAP_Politica DOTS_Resumen Ejecutivo V5_FINAL.pdf","lineamientos-politica-nacional-dots-2020","ALTERNATE_EDITION","Lineamientos para una política nacional DOTS (resumen ejecutivo, versión 5)","Consorcio SIGMA Gestión de Proyectos – Despacio","Findeter","2020","","","","report","https://bibliotecadigital.findeter.metabiblioteca.com/handle/001/9617","Word-produced draft labelled 'V5_FINAL' of the executive summary later issued as the designed Findeter publication; identical sections, objectives and four strategic proposals, so the same intellectual work in an earlier version"
"DOTS América Latina","Improving Coordination of Transportation and Land-Use Planning in Latin American Cities.pdf","ardila-coordination-transport-landuse-2006","NONBOOK","Improving Coordination of Transportation and Land-Use Planning in Latin American Cities: overcoming the barriers","Arturo Ardila","Universidad de los Andes, Transportation Studies Group","2006","","","","presentation","","Slide deck presented at Clean Air in Latin America, São Paulo, 2006; slide 1 verifies the title, the author and the Transportation Studies Group at Universidad de los Andes, and every slide footer repeats the event and year; no public archive copy was located, and slides are not an Open Library book"
